WARNING:root:DQN trained on Pong-v0
WARNING:root:{'LEARNING_RATE': 0.001}
WARNING:root:Episode 4330, Reward Sum -8.0.
WARNING:root:Episode 4340, Reward Sum -8.0.
WARNING:root:Episode 4350, Reward Sum -9.0.
WARNING:root:Episode 4360, Reward Sum -12.0.
WARNING:root:Episode 4370, Reward Sum -12.0.
WARNING:root:Episode 4380, Reward Sum -4.0.
WARNING:root:Episode 4390, Reward Sum -7.0.
WARNING:root:evaluating on 5 episodes with mean reward -12.8.
WARNING:root:Episode 4400, Reward Sum -11.0.
WARNING:root:Episode 4410, Reward Sum -14.0.
WARNING:root:Episode 4420, Reward Sum -8.0.
WARNING:root:Episode 4430, Reward Sum -9.0.
WARNING:root:Episode 4440, Reward Sum -12.0.
WARNING:root:Episode 4450, Reward Sum -13.0.
WARNING:root:Episode 4460, Reward Sum -7.0.
WARNING:root:Episode 4470, Reward Sum -10.0.
WARNING:root:Episode 4480, Reward Sum -8.0.
WARNING:root:Episode 4490, Reward Sum -9.0.
WARNING:root:evaluating on 5 episodes with mean reward -10.6.
WARNING:root:Episode 4500, Reward Sum -7.0.
WARNING:root:Episode 4510, Reward Sum -10.0.
WARNING:root:Episode 4520, Reward Sum -13.0.
WARNING:root:Episode 4530, Reward Sum -10.0.
WARNING:root:Episode 4540, Reward Sum -12.0.
WARNING:root:Episode 4550, Reward Sum -15.0.
WARNING:root:Episode 4560, Reward Sum -15.0.
WARNING:root:Episode 4570, Reward Sum -13.0.
WARNING:root:Episode 4580, Reward Sum -16.0.
WARNING:root:Episode 4590, Reward Sum -12.0.
WARNING:root:evaluating on 5 episodes with mean reward -8.8.
WARNING:root:Episode 4600, Reward Sum -8.0.
WARNING:root:Episode 4610, Reward Sum -7.0.
WARNING:root:Episode 4620, Reward Sum -7.0.
WARNING:root:Episode 4630, Reward Sum -11.0.
WARNING:root:Episode 4640, Reward Sum -7.0.
WARNING:root:Episode 4650, Reward Sum -8.0.
WARNING:root:Episode 4660, Reward Sum -10.0.
WARNING:root:Episode 4670, Reward Sum -8.0.
WARNING:root:Episode 4680, Reward Sum -10.0.
WARNING:root:Episode 4690, Reward Sum -11.0.
WARNING:root:evaluating on 5 episodes with mean reward -9.0.
WARNING:root:Episode 4700, Reward Sum -3.0.
WARNING:root:Episode 4710, Reward Sum -6.0.
WARNING:root:Episode 4720, Reward Sum -11.0.
WARNING:root:Episode 4730, Reward Sum -8.0.
WARNING:root:Episode 4740, Reward Sum -11.0.
WARNING:root:Episode 4750, Reward Sum -5.0.
WARNING:root:Episode 4760, Reward Sum -7.0.
WARNING:root:Episode 4770, Reward Sum -7.0.
WARNING:root:Episode 4780, Reward Sum -11.0.
WARNING:root:Episode 4790, Reward Sum -14.0.
WARNING:root:evaluating on 5 episodes with mean reward -9.4.
WARNING:root:Episode 4800, Reward Sum -3.0.
