WARNING:root:DQN trained on MountainCar-v0
WARNING:root:train episode 327 : reward -163.0, steps 163
WARNING:root:train episode 328 : reward -184.0, steps 184
WARNING:root:train episode 329 : reward -191.0, steps 191
WARNING:root:train episode 330 : reward -200.0, steps 200
WARNING:root:train episode 331 : reward -166.0, steps 166
WARNING:root:train episode 332 : reward -105.0, steps 105
WARNING:root:train episode 333 : reward -149.0, steps 149
WARNING:root:train episode 334 : reward -200.0, steps 200
WARNING:root:train episode 335 : reward -200.0, steps 200
WARNING:root:train episode 336 : reward -182.0, steps 182
WARNING:root:train episode 337 : reward -200.0, steps 200
WARNING:root:train episode 338 : reward -179.0, steps 179
WARNING:root:train episode 339 : reward -200.0, steps 200
WARNING:root:train episode 340 : reward -168.0, steps 168
WARNING:root:train episode 341 : reward -136.0, steps 136
WARNING:root:train episode 342 : reward -200.0, steps 200
WARNING:root:train episode 343 : reward -200.0, steps 200
WARNING:root:train episode 344 : reward -179.0, steps 179
WARNING:root:train episode 345 : reward -149.0, steps 149
WARNING:root:train episode 346 : reward -175.0, steps 175
WARNING:root:train episode 347 : reward -200.0, steps 200
WARNING:root:train episode 348 : reward -200.0, steps 200
WARNING:root:train episode 349 : reward -164.0, steps 164
WARNING:root:train episode 350 : reward -200.0, steps 200
WARNING:root:train episode 351 : reward -175.0, steps 175
WARNING:root:evaluate 5 episodes : e_greedy 0.03559299999993559, reward -112.4
WARNING:root:train episode 352 : reward -166.0, steps 166
WARNING:root:train episode 353 : reward -169.0, steps 169
WARNING:root:train episode 354 : reward -200.0, steps 200
WARNING:root:train episode 355 : reward -184.0, steps 184
WARNING:root:train episode 356 : reward -151.0, steps 151
WARNING:root:train episode 357 : reward -200.0, steps 200
WARNING:root:train episode 358 : reward -156.0, steps 156
WARNING:root:train episode 359 : reward -149.0, steps 149
WARNING:root:train episode 360 : reward -200.0, steps 200
WARNING:root:train episode 361 : reward -200.0, steps 200
WARNING:root:train episode 362 : reward -185.0, steps 185
WARNING:root:train episode 363 : reward -187.0, steps 187
WARNING:root:train episode 364 : reward -175.0, steps 175
WARNING:root:train episode 365 : reward -200.0, steps 200
WARNING:root:train episode 366 : reward -200.0, steps 200
WARNING:root:train episode 367 : reward -200.0, steps 200
WARNING:root:train episode 368 : reward -176.0, steps 176
WARNING:root:train episode 369 : reward -200.0, steps 200
WARNING:root:train episode 370 : reward -200.0, steps 200
WARNING:root:train episode 371 : reward -181.0, steps 181
WARNING:root:train episode 372 : reward -200.0, steps 200
WARNING:root:train episode 373 : reward -200.0, steps 200
WARNING:root:train episode 374 : reward -174.0, steps 174
WARNING:root:train episode 375 : reward -200.0, steps 200
WARNING:root:train episode 376 : reward -140.0, steps 140
WARNING:root:train episode 377 : reward -200.0, steps 200
WARNING:root:train episode 378 : reward -200.0, steps 200
WARNING:root:train episode 379 : reward -200.0, steps 200
WARNING:root:train episode 380 : reward -200.0, steps 200
WARNING:root:train episode 381 : reward -164.0, steps 164
WARNING:root:train episode 382 : reward -152.0, steps 152
WARNING:root:train episode 383 : reward -162.0, steps 162
WARNING:root:train episode 384 : reward -91.0, steps 91
WARNING:root:train episode 385 : reward -200.0, steps 200
WARNING:root:train episode 386 : reward -200.0, steps 200
WARNING:root:train episode 387 : reward -109.0, steps 109
WARNING:root:train episode 388 : reward -200.0, steps 200
WARNING:root:train episode 389 : reward -200.0, steps 200
WARNING:root:train episode 390 : reward -172.0, steps 172
WARNING:root:train episode 391 : reward -200.0, steps 200
WARNING:root:train episode 392 : reward -200.0, steps 200
WARNING:root:train episode 393 : reward -200.0, steps 200
WARNING:root:train episode 394 : reward -200.0, steps 200
WARNING:root:train episode 395 : reward -200.0, steps 200
WARNING:root:train episode 396 : reward -200.0, steps 200
WARNING:root:train episode 397 : reward -200.0, steps 200
WARNING:root:train episode 398 : reward -200.0, steps 200
WARNING:root:train episode 399 : reward -169.0, steps 169
WARNING:root:train episode 400 : reward -178.0, steps 178
WARNING:root:train episode 401 : reward -200.0, steps 200
WARNING:root:evaluate 5 episodes : e_greedy 0.026402999999926402, reward -200.0
WARNING:root:train episode 402 : reward -91.0, steps 91
WARNING:root:train episode 403 : reward -200.0, steps 200
WARNING:root:train episode 404 : reward -101.0, steps 101
WARNING:root:train episode 405 : reward -200.0, steps 200
WARNING:root:train episode 406 : reward -196.0, steps 196
WARNING:root:train episode 407 : reward -200.0, steps 200
WARNING:root:train episode 408 : reward -200.0, steps 200
WARNING:root:train episode 409 : reward -200.0, steps 200
WARNING:root:train episode 410 : reward -200.0, steps 200
WARNING:root:train episode 411 : reward -131.0, steps 131
WARNING:root:train episode 412 : reward -184.0, steps 184
WARNING:root:train episode 413 : reward -200.0, steps 200
WARNING:root:train episode 414 : reward -200.0, steps 200
WARNING:root:train episode 415 : reward -152.0, steps 152
WARNING:root:train episode 416 : reward -200.0, steps 200
WARNING:root:train episode 417 : reward -88.0, steps 88
WARNING:root:train episode 418 : reward -159.0, steps 159
WARNING:root:train episode 419 : reward -200.0, steps 200
WARNING:root:train episode 420 : reward -200.0, steps 200
WARNING:root:train episode 421 : reward -195.0, steps 195
WARNING:root:train episode 422 : reward -180.0, steps 180
WARNING:root:train episode 423 : reward -200.0, steps 200
