WARNING:root:DQN trained on CartPole-v0
WARNING:root:{'LEARN_FREQ': 3, 'MEMORY_SIZE': 20000, 'MEMORY_WARMUP_SIZE': 300, 'BATCH_SIZE': 64, 'LEARNING_RATE': 0.001, 'GAMMA': 0.99, 'E_GREEDY': 0.1, 'E_GREEDY_DECREMENT': 1e-06, 'max_episode': 1000}
WARNING:root:train episode 287 : reward 15.0, steps 15
WARNING:root:train episode 288 : reward 35.0, steps 35
WARNING:root:train episode 289 : reward 22.0, steps 22
WARNING:root:train episode 290 : reward 18.0, steps 18
WARNING:root:train episode 291 : reward 41.0, steps 41
WARNING:root:train episode 292 : reward 82.0, steps 82
WARNING:root:train episode 293 : reward 30.0, steps 30
WARNING:root:train episode 294 : reward 72.0, steps 72
WARNING:root:train episode 295 : reward 16.0, steps 16
WARNING:root:train episode 296 : reward 24.0, steps 24
WARNING:root:train episode 297 : reward 68.0, steps 68
WARNING:root:train episode 298 : reward 18.0, steps 18
WARNING:root:train episode 299 : reward 25.0, steps 25
WARNING:root:train episode 300 : reward 61.0, steps 61
WARNING:root:train episode 301 : reward 83.0, steps 83
WARNING:root:evaluate 5 episodes : e_greedy 0.09580999999999582, reward 200.0
WARNING:root:train episode 302 : reward 108.0, steps 108
WARNING:root:train episode 303 : reward 67.0, steps 67
WARNING:root:train episode 304 : reward 200.0, steps 200
WARNING:root:train episode 305 : reward 200.0, steps 200
WARNING:root:train episode 306 : reward 200.0, steps 200
WARNING:root:train episode 307 : reward 200.0, steps 200
WARNING:root:train episode 308 : reward 200.0, steps 200
WARNING:root:train episode 309 : reward 200.0, steps 200
WARNING:root:train episode 310 : reward 200.0, steps 200
WARNING:root:train episode 311 : reward 200.0, steps 200
WARNING:root:train episode 312 : reward 200.0, steps 200
WARNING:root:train episode 313 : reward 192.0, steps 192
WARNING:root:train episode 314 : reward 200.0, steps 200
WARNING:root:train episode 315 : reward 196.0, steps 196
WARNING:root:train episode 316 : reward 185.0, steps 185
WARNING:root:train episode 317 : reward 195.0, steps 195
WARNING:root:train episode 318 : reward 200.0, steps 200
WARNING:root:train episode 319 : reward 200.0, steps 200
WARNING:root:train episode 320 : reward 200.0, steps 200
WARNING:root:train episode 321 : reward 197.0, steps 197
WARNING:root:train episode 322 : reward 153.0, steps 153
WARNING:root:train episode 323 : reward 189.0, steps 189
WARNING:root:train episode 324 : reward 176.0, steps 176
WARNING:root:train episode 325 : reward 200.0, steps 200
WARNING:root:train episode 326 : reward 200.0, steps 200
WARNING:root:train episode 327 : reward 175.0, steps 175
WARNING:root:train episode 328 : reward 200.0, steps 200
WARNING:root:train episode 329 : reward 200.0, steps 200
WARNING:root:train episode 330 : reward 172.0, steps 172
WARNING:root:train episode 331 : reward 200.0, steps 200
WARNING:root:train episode 332 : reward 147.0, steps 147
WARNING:root:train episode 333 : reward 200.0, steps 200
WARNING:root:train episode 334 : reward 186.0, steps 186
WARNING:root:train episode 335 : reward 191.0, steps 191
WARNING:root:train episode 336 : reward 141.0, steps 141
WARNING:root:train episode 337 : reward 179.0, steps 179
WARNING:root:train episode 338 : reward 192.0, steps 192
WARNING:root:train episode 339 : reward 200.0, steps 200
WARNING:root:train episode 340 : reward 185.0, steps 185
WARNING:root:train episode 341 : reward 177.0, steps 177
WARNING:root:train episode 342 : reward 182.0, steps 182
WARNING:root:train episode 343 : reward 163.0, steps 163
WARNING:root:train episode 344 : reward 169.0, steps 169
WARNING:root:train episode 345 : reward 200.0, steps 200
